id,localizacion,latitud,longitud,magnitud,time,profundidad,mes,ano,estado,estatus,hora,minuto
472,52 km al SUROESTE de PINOTEPA NACIONAL,15.97,-98.35,5.4,0.343703704,9,11,1984,OAX,revisado,8,14
473,666 km al SUROESTE de CD CONSTITUCION,20.36,-115.76,6.2,0.006759259,9,12,1984,BCS,revisado,0,9
474,697 km al SUROESTE de CABO SAN LUCAS,20.17,-115.99,5,0.897175926,9,12,1984,BCS,revisado,21,31
475,22 km al SUROESTE de S PEDRO POCHUTLA,15.65,-96.65,5.4,0.090347222,15,12,1984,OAX,revisado,2,10
476,77 km al SUROESTE de TONALA,15.59,-94.26,5.6,0.118043981,60,12,1984,CHIS,revisado,2,49
477,35 km al NORTE de PINOTEPA NACIONAL,16.65,-98,5.1,0.250150463,112,1,1985,OAX,revisado,6,0
478,372 km al SURESTE de CABO SAN LUCAS,19.65,-108.95,5.2,0.031747685,9,1,1985,BCS,revisado,0,45
479,18 km al SURESTE de JUCHITAN DE ZARAGOZA,16.28,-94.97,5.1,0.441539352,70,2,1985,OAX,revisado,10,35
480,59 km al SUR de COALCOMAN,18.24,-103.16,5,0.651168981,26,2,1985,MICH,revisado,15,37
481,12 km al NORESTE de SALINA CRUZ,16.24,-95.1,5.2,0.75962963,74,2,1985,OAX,revisado,18,13
482,26 km al NORTE de MAPASTEPEC,15.68,-92.88,5,0.674537037,100,3,1985,CHIS,revisado,16,11
483,363 km al SURESTE de CD HIDALGO,13.45,-89.03,5.2,0.564733796,77,3,1985,CHIS,revisado,13,33
484,56 km al SUROESTE de CD HIDALGO,14.43,-92.6,5.1,0.331574074,33,4,1985,CHIS,revisado,7,57
485,173 km al SUR de CD HIDALGO,13.16,-91.77,5,0.744791667,33,4,1985,CHIS,revisado,17,52
486,71 km al ESTE de RODOLFO SANCHEZ T(MRO),31.77,-115.82,5.1,0.736319444,6,5,1985,BC,revisado,17,40
487,26 km al NORESTE de COALCOMAN,18.94,-102.98,5.2,0.560833333,15,5,1985,MICH,revisado,13,27
488,31 km al SUROESTE de CD HIDALGO,14.6,-92.43,5,0.026168981,33,6,1985,CHIS,revisado,0,37
489,41 km al SUROESTE de ARRIAGA ,15.98,-94.18,5.6,0.210509259,33,6,1985,CHIS,revisado,5,3
490,44 km al NOROESTE de STA MARIA ATZOMPA,17.38,-97.07,5.1,0.119143519,70,7,1985,OAX,revisado,2,51
491,73 km al NORESTE de MATIAS ROMERO,17.23,-94.46,5.3,0.05568287,120,7,1985,OAX,revisado,1,20
492,389 km al SUROESTE de PUERTO VALLARTA,18.9,-108.47,5.4,0.189837963,9,7,1985,JAL,revisado,4,33
493,31 km al SURESTE de SAYULA DE ALEMAN,17.68,-94.75,5.3,0.233252315,70,7,1985,VER,revisado,5,35
494,360 km al SURESTE de CD HIDALGO,13.28,-89.14,5.1,0.660821759,79,7,1985,CHIS,revisado,15,51
495,197 km al SURESTE de SAN JOSE DEL CABO,21.75,-108.42,5.2,0.602233796,9,8,1985,BCS,revisado,14,27
496,16 km al SURESTE de TEPELMEME,17.75,-97.28,5.9,0.081863426,56,9,1985,OAX,revisado,1,57
497,45 km al NOROESTE de LA MIRA,18.419,-102.468,8.1,0.304039352,15,9,1985,MICH,revisado,7,17
498,64 km al SUROESTE de ZIHUATANEJO,17.24,-101.98,5,0.520439815,33,9,1985,GRO,revisado,12,29
499,25 km al NOROESTE de ZIHUATANEJO,17.828,-101.681,7.6,0.817523148,17,9,1985,GRO,revisado,19,37
500,3 km al SURESTE de BUENOS AIRES,18.01,-102.26,5.3,0.072291667,16,9,1985,MICH,revisado,1,44
501,71 km al SUROESTE de ZIHUATANEJO,17.04,-101.77,5.1,0.911550926,16,9,1985,GRO,revisado,21,52
502,283 km al SURESTE de CD HIDALGO,13.52,-89.81,5.2,0.60375,75,10,1985,CHIS,revisado,14,29
503,38 km al SUROESTE de LA MIRA,17.79,-102.58,5.6,0.376678241,16,10,1985,MICH,revisado,9,2
504,397 km al SUROESTE de PUERTO VALLARTA,18.73,-108.46,5.3,0.667511574,9,1,1986,JAL,revisado,16,1
505,61 km al OESTE de HUETAMO,18.49,-101.46,5.2,0.358275463,69,1,1986,MICH,revisado,8,35
506,311 km al SUROESTE de PUERTO VALLARTA,19.53,-107.98,5.4,0.730023148,9,1,1986,JAL,revisado,17,31
507,48 km al SUROESTE de PETATLAN,17.2,-101.56,5,0.584259259,33,1,1986,GRO,revisado,14,1
508,58 km al SUROESTE de ZIHUATANEJO,17.4,-102.03,5.7,0.643587963,33,2,1986,GRO,revisado,15,26
509,82 km al SUR de S PEDRO POCHUTLA,15.01,-96.33,5.2,0.157384259,33,3,1986,OAX,revisado,3,46
510,67 km al SURESTE de CD HIDALGO,14.31,-91.66,6.5,0.190300926,33,3,1986,CHIS,revisado,4,34
511,653 km al SUROESTE de CABO SAN LUCAS,18.01,-113.44,5.7,0.571793981,9,3,1986,BCS,revisado,13,43
512,72 km al SURESTE de UNION HIDALGO,15.91,-94.5,5.8,0.696921296,25,4,1986,OAX,revisado,16,43
513,96 km al SUROESTE de PUERTO PEÃ‘ASCO,30.51,-113.89,5.1,0.426724537,9,4,1986,SON,revisado,10,14
514,48 km al SUR de COALCOMAN,18.361,-103.045,7,0.046747685,22,4,1986,MICH,revisado,1,7
515,206 km al SUROESTE de CIHUATLAN,17.74,-105.72,5,0.621585648,9,6,1986,JAL,revisado,14,55
516,14 km al SUR de CD ALTAMIRANO,18.24,-100.7,5.1,0.652627315,70,6,1986,GRO,revisado,15,39
517,69 km al SUROESTE de PIJIJIAPAN,15.14,-93.51,5.8,0.718449074,33,6,1986,CHIS,revisado,17,14
518,46 km al NORTE de ZIHUATANEJO,18.05,-101.66,5.2,0.944236111,57,6,1986,GRO,revisado,22,39
519,23 km al NORTE de MAPASTEPEC,15.64,-92.84,5.3,0.673356481,117,7,1986,CHIS,revisado,16,9
520,36 km al SUROESTE de ARRIAGA ,16.08,-94.2,6,0.133506944,90,7,1986,CHIS,revisado,3,12
521,20 km al SUROESTE de CINTALAPA,16.61,-93.89,5,0.486157407,132,8,1986,CHIS,revisado,11,40
522,51 km al OESTE de H GUAYMAS,27.95,-111.42,5,0.34869213,9,9,1986,SON,revisado,8,22
523,83 km al SUROESTE de PINOTEPA NACIONAL,15.81,-98.6,5,0.388321759,25,9,1986,OAX,revisado,9,19
524,92 km al ESTE de SAN JOSE DEL CABO,22.88,-108.83,5.7,0.010960648,5,9,1986,BCS,revisado,0,15
525,79 km al SUROESTE de PINOTEPA NACIONAL,15.89,-98.62,5,0.876724537,15,9,1986,OAX,revisado,21,2
526,133 km al SUROESTE de COALCOMAN,17.65,-103.59,5,0.021435185,33,10,1986,MICH,revisado,0,30
527,14 km al NORESTE de TONALA,16.17,-93.66,5,0.507152778,33,10,1986,CHIS,revisado,12,10
528,214 km al SURESTE de CD HIDALGO,13.32,-90.74,5,0.240428241,33,10,1986,CHIS,revisado,5,46
529,339 km al SURESTE de CD HIDALGO,13.83,-89.13,5.4,0.492627315,5,10,1986,CHIS,revisado,11,49
530,253 km al SURESTE de CD HIDALGO,13.3,-90.28,5.1,0.631655093,33,10,1986,CHIS,revisado,15,9
531,263 km al SURESTE de CD HIDALGO,13.08,-90.35,5.8,0.342685185,33,11,1986,CHIS,revisado,8,13
532,27 km al NOROESTE de ZIHUATANEJO,17.79,-101.76,5.2,0.832037037,15,11,1986,GRO,revisado,19,58
533,25 km al SUROESTE de RIO GRANDE,15.94,-97.66,5.5,0.61025463,33,11,1986,OAX,revisado,14,38
534,46 km al SUR de APATZINGAN,18.68,-102.43,5,0.037002315,16,11,1986,MICH,revisado,0,53
535,50 km al ESTE de MATIAS ROMERO,16.97,-94.58,5,0.086759259,120,1,1987,OAX,revisado,2,4
536,38 km al SUROESTE de OMETEPEC,16.37,-98.56,5.5,0.557002315,33,2,1987,GRO,revisado,13,22
537,29 km al NOROESTE de GPE VICTORIA(KM.43),32.39,-115.39,5.5,0.906400463,5,2,1987,BC,revisado,21,45
538,139 km al SUR de SAN MARCOS,15.57,-99.09,5,0.787627315,33,4,1987,GRO,revisado,18,54
539,136 km al SUROESTE de NAVOLATO,24.04,-108.79,5.2,0.161759259,9,7,1987,SIN,revisado,3,52
540,136 km al SUROESTE de NAVOLATO,24.03,-108.78,5,0.378865741,9,7,1987,SIN,revisado,9,5
541,131 km al SURESTE de SAN MARCOS,15.65,-99.07,5,0.512986111,33,7,1987,GRO,revisado,12,18
542,46 km al NORESTE de H TLAXIACO,17.39,-97.26,6,0.052928241,68,7,1987,OAX,revisado,1,16
543,57 km al SUROESTE de PIJIJIAPAN,15.53,-93.72,5.2,0.099328704,37,7,1987,CHIS,revisado,2,23
544,46 km al SURESTE de NUEVA ITALIA,18.73,-101.78,5,0.765717593,63,7,1987,MICH,revisado,18,22
545,130 km al NORESTE de SAN JOSE DEL CABO,23.85,-108.77,5.3,0.708935185,9,8,1987,BCS,revisado,17,0
546,52 km al SUROESTE de MANZANILLO,18.73,-104.68,5,0.505821759,33,8,1987,COL,revisado,12,8
547,161 km al SURESTE de CD HIDALGO,13.4,-91.44,5,0.157118056,33,8,1987,CHIS,revisado,3,46
548,16 km al SUR de TONALA,15.95,-93.72,5.3,0.866319444,45,10,1987,CHIS,revisado,20,47
549,338 km al SURESTE de CD HIDALGO,13.18,-89.42,5.1,0.545752315,78,10,1987,CHIS,revisado,13,5
550,80 km al SUROESTE de PETATLAN,16.86,-101.54,5.1,0.93869213,33,10,1987,GRO,revisado,22,31
551,360 km al SURESTE de CABO SAN LUCAS,19.76,-108.96,5.5,0.677881944,50,11,1987,BCS,revisado,16,16
552,368 km al SUR de CABO SAN LUCAS,19.68,-108.99,5.9,0.682650463,52,11,1987,BCS,revisado,16,23
553,63 km al NOROESTE de SANTA ISABEL,33.083,-115.983,6.5,0.302766204,10,11,1987,BC,revisado,7,15
554,353 km al SUR de CABO SAN LUCAS,19.76,-109.23,5.2,0.892939815,10,1,1988,BCS,revisado,21,25
555,24 km al SUROESTE de COALCOMAN,18.7,-103.37,5.3,0.416979167,45,1,1988,MICH,revisado,10,0
556,69 km al ESTE de RODOLFO SANCHEZ T(MRO),31.74,-115.84,5.1,0.3040625,5,1,1988,BC,revisado,7,17
557,198 km al SUROESTE de CD HIDALGO,13.2,-93.18,5,0.629074074,25,1,1988,CHIS,revisado,15,5
558,16 km al SURESTE de PETATLAN,17.4,-101.22,5.5,0.32744213,10,2,1988,GRO,revisado,7,51
559,136 km al SURESTE de SAN FELIPE,30.1,-113.9,5.4,0.974953704,10,2,1988,BC,revisado,23,23
560,148 km al SURESTE de SAN FELIPE,29.86,-114.09,5.1,0.993587963,10,2,1988,BC,revisado,23,50
561,128 km al OESTE de CIHUATLAN,19.36,-105.77,5.1,0.771979167,10,3,1988,JAL,revisado,18,31
562,24 km al NOROESTE de H HUAJUAPAN DE LEON,17.97,-97.92,5.1,0.065613426,73,3,1988,OAX,revisado,1,34
563,44 km al NORESTE de UNION HIDALGO,16.81,-94.6,5.2,0.119548611,86,4,1988,OAX,revisado,2,52
564,160 km al SUROESTE de LA CRUZ,22.91,-108.02,5.4,0.821469907,10,4,1988,SIN,revisado,19,42
565,35 km al SUR de PINOTEPA NACIONAL,16.03,-98.13,5.1,0.986979167,10,5,1988,OAX,revisado,23,41
566,82 km al SUROESTE de OMETEPEC,16.13,-98.92,5.1,0.637511574,21,6,1988,GRO,revisado,15,18
567,131 km al SURESTE de FRONTERA COMALAPA,15.31,-90.97,5,0.891608796,16,6,1988,CHIS,revisado,21,23
568,95 km al NORESTE de LORETO,26.813,-110.988,6.6,0.701203704,12,6,1988,BCS,revisado,16,49
569,152 km al SURESTE de CD HIDALGO,13.84,-91.03,5.2,0.152777778,5,7,1988,CHIS,revisado,3,40
570,154 km al SUR de CD HIDALGO,13.29,-92.06,5,0.815034722,22,7,1988,CHIS,revisado,19,33
571,119 km al SUROESTE de CD HIDALGO,14.16,-93.12,5.2,0.595914352,54,7,1988,CHIS,revisado,14,18
572,107 km al SUROESTE de HUIXTLA,14.43,-93.15,5.4,0.643912037,34,7,1988,CHIS,revisado,15,27
573,224 km al OESTE de CIHUATLAN,18.73,-106.62,5.9,0.479293981,16,8,1988,JAL,revisado,11,30
574,204 km al SUROESTE de CIHUATLAN,18.6,-106.38,5.7,0.493553241,20,8,1988,JAL,revisado,11,50
575,217 km al OESTE de CIHUATLAN,18.87,-106.59,5.4,0.529618056,15,8,1988,JAL,revisado,12,42
576,140 km al ESTE de SAN JOSE DEL CABO,23.38,-108.38,5.3,0.21931713,10,8,1988,BCS,revisado,5,15
577,72 km al ESTE de RODOLFO SANCHEZ T(MRO),31.81,-115.82,5.1,0.448101852,5,8,1988,BC,revisado,10,45
578,63 km al SUROESTE de SAN MARCOS,16.27,-99.62,5,0.453298611,24,9,1988,GRO,revisado,10,52
579,54 km al NORESTE de MATIAS ROMERO,17.3,-94.8,5,0.787604167,120,9,1988,OAX,revisado,18,54
580,87 km al SUROESTE de CD HIDALGO,14.43,-92.92,5.3,0.795532407,35,9,1988,CHIS,revisado,19,5
581,190 km al SURESTE de CD HIDALGO,13.23,-91.2,5.1,0.573240741,10,9,1988,CHIS,revisado,13,45
582,107 km al SURESTE de CD HIDALGO,13.92,-91.54,5.2,0.09162037,49,9,1988,CHIS,revisado,2,11
583,87 km al SUR de PETATLAN,16.77,-101.45,5,0.591631944,20,9,1988,GRO,revisado,14,11
584,3 km al NORESTE de PIJIJIAPAN,15.71,-93.2,5.1,0.144224537,99,10,1988,CHIS,revisado,3,27
585,192 km al SURESTE de CD HIDALGO,13.913,-90.557,6.6,0.366122685,74,11,1988,CHIS,revisado,8,47
586,196 km al SURESTE de CD HIDALGO,13.67,-90.66,5,0.386828704,70,11,1988,CHIS,revisado,9,17
587,160 km al ESTE de CD HIDALGO,14.56,-90.67,5,0.449351852,75,11,1988,CHIS,revisado,10,47
588,187 km al SURESTE de CD HIDALGO,13.84,-90.64,5.2,0.863321759,68,11,1988,CHIS,revisado,20,43
589,44 km al SUROESTE de CD HIDALGO,14.44,-92.48,5,0.146539352,33,12,1988,CHIS,revisado,3,31
590,154 km al SURESTE de CD HIDALGO,13.93,-90.95,5,0.136851852,69,12,1988,CHIS,revisado,3,17
591,69 km al SUROESTE de RIO GRANDE,15.61,-97.93,5,0.377939815,15,1,1989,OAX,revisado,9,4
592,108 km al SUROESTE de MAZATLAN,22.34,-106.84,5.3,0.485763889,20,1,1989,SIN,revisado,11,39
593,175 km al SUROESTE de MAZATLAN,21.97,-107.43,5.1,0.737986111,32,2,1989,SIN,revisado,17,42
594,40 km al ESTE de PETATLAN,17.52,-100.9,5.3,0.972175926,20,3,1989,GRO,revisado,23,19
595,83 km al SUROESTE de OMETEPEC,16.04,-98.8,5,0.124872685,10,4,1989,GRO,revisado,2,59
596,160 km al SUROESTE de MANZANILLO,17.9,-105.23,5.7,0.367361111,20,4,1989,COL,revisado,8,49
597,155 km al SUROESTE de CIHUATLAN,18.05,-105.35,5.6,0.375393519,20,4,1989,JAL,revisado,9,0
598,12 km al ESTE de SAN MARCOS,16.795,-99.275,6.8,0.353506944,23,4,1989,GRO,revisado,8,29
599,94 km al SUROESTE de CD DE ARMERIA,18.19,-104.4,5.5,0.857384259,6,4,1989,COL,revisado,20,34
600,125 km al SURESTE de CD HIDALGO,14,-91.22,5.3,0.075474537,11,4,1989,CHIS,revisado,1,48
601,26 km al SUROESTE de SAN MARCOS,16.64,-99.58,5.2,0.146041667,20,5,1989,GRO,revisado,3,30
602,264 km al SUROESTE de CIHUATLAN,18.01,-106.71,5.1,0.192928241,5,5,1989,JAL,revisado,4,37
603,167 km al SUR de CD HIDALGO,13.21,-91.79,5,0.536284722,20,5,1989,CHIS,revisado,12,52
604,139 km al SUR de CD HIDALGO,13.42,-92.13,5.1,0.650173611,7,5,1989,CHIS,revisado,15,36
605,45 km al NORESTE de MATIAS ROMERO,17.22,-94.83,5.2,0.327060185,127,5,1989,OAX,revisado,7,50
606,62 km al SURESTE de CRUCECITA,15.48,-95.64,5,0.636678241,15,6,1989,OAX,revisado,15,16
607,33 km al SUROESTE de MAPASTEPEC,15.19,-93.05,5.1,0.549467593,72,7,1989,CHIS,revisado,13,11
608,47 km al SUROESTE de CD ALTAMIRANO,18.12,-101.03,5.5,0.397106481,15,8,1989,GRO,revisado,9,31
609,235 km al SUROESTE de TUXPAN,21.26,-107.45,5,0.486759259,20,8,1989,NAY,revisado,11,40
610,144 km al SUROESTE de PIJIJIAPAN,14.62,-93.98,5,0.995266204,17,8,1989,CHIS,revisado,23,53
611,179 km al SUROESTE de CIHUATLAN,18.016,-105.674,6.5,0.928078704,27,8,1989,JAL,revisado,22,16
612,198 km al SUROESTE de MAPASTEPEC,13.92,-93.87,5.6,0.019548611,10,9,1989,CHIS,revisado,0,28
613,12 km al OESTE de ARRIAGA ,16.21,-94.01,5.9,0.72287037,93,9,1989,CHIS,revisado,17,20
614,24 km al NORESTE de PUERTO ESCONDIDO,15.99,-96.89,5,0.531770833,8,9,1989,OAX,revisado,12,45
615,18 km al NOROESTE de COYUCA DE BENITEZ,17.16,-100.14,5,0.689375,34,10,1989,GRO,revisado,16,32
616,91 km al SUROESTE de HUATABAMPO,26.27,-110.31,5.1,0.820891204,10,10,1989,SON,revisado,19,42
617,105 km al ESTE de LORETO,25.83,-110.31,5,0.827534722,10,10,1989,BCS,revisado,19,51
618,89 km al SUROESTE de HUATABAMPO,26.31,-110.33,5.3,0.8409375,10,10,1989,SON,revisado,20,10
619,42 km al SUR de ACAPULCO,16.49,-99.92,5,0.459201389,20,10,1989,GRO,revisado,11,1
620,29 km al SURESTE de ACAPULCO,16.74,-99.66,5.1,0.10880787,10,11,1989,GRO,revisado,2,36
621,100 km al OESTE de AHOME,25.89,-110.17,5.1,0.542349537,10,11,1989,SIN,revisado,13,0
622,50 km al SUROESTE de HUIXTLA,14.86,-92.83,5.1,0.939328704,31,11,1989,CHIS,revisado,22,32
623,31 km al NORESTE de MAPASTEPEC,15.63,-92.68,5.2,0.229039352,74,12,1989,CHIS,revisado,5,29
624,45 km al OESTE de CIHUATLAN,19.21,-104.99,5.4,0.851331019,10,12,1989,JAL,revisado,20,25
625,266 km al OESTE de CIHUATLAN,18.71,-107.03,5.8,0.518703704,10,1,1990,JAL,revisado,12,26
626,29 km al SUROESTE de SAN MARCOS,16.7,-99.65,5.2,0.838506944,10,1,1990,GRO,revisado,20,7
627,111 km al SUROESTE de GUERRERO NEGRO,27.58,-115.1,5.1,0.586921296,10,1,1990,BCS,revisado,14,5
628,34 km al NOROESTE de LA MIRA,18.22,-102.59,5.4,0.862106481,58,1,1990,MICH,revisado,20,41
629,388 km al SUROESTE de LA MIRA,15.33,-104.65,5.3,0.19162037,15,2,1990,MICH,revisado,4,35
630,110 km al SUROESTE de RIO GRANDE,15.23,-98.07,5.1,0.808576389,9,2,1990,OAX,revisado,19,24
631,105 km al SUROESTE de RIO GRANDE,15.39,-98.17,5.2,0.818055556,16,2,1990,OAX,revisado,19,38
632,61 km al SURESTE de UNION HIDALGO,16.01,-94.52,5.4,0.112303241,87,3,1990,OAX,revisado,2,41
633,94 km al SUROESTE de G LEYVA SOLANO (BENITO JUAREZ),24.93,-109.1,6.1,0.41162037,20,3,1990,SIN,revisado,9,52
634,97 km al SUROESTE de RIO GRANDE,15.45,-98.13,5,0.516377315,17,3,1990,OAX,revisado,12,23
635,29 km al NOROESTE de S PEDRO POCHUTLA,15.95,-96.63,5,0.326886574,60,3,1990,OAX,revisado,7,50
636,33 km al SUR de S PEDRO POCHUTLA,15.45,-96.47,5.2,0.338275463,7,3,1990,OAX,revisado,8,7
637,81 km al SUROESTE de SAN MARCOS,16.14,-99.74,5,0.464050926,17,4,1990,GRO,revisado,11,8
638,147 km al SURESTE de CD HIDALGO,13.46,-91.61,5.1,0.537719907,8,4,1990,CHIS,revisado,12,54
639,85 km al SUR de CD HIDALGO,13.92,-92.02,5.3,0.23931713,30,5,1990,CHIS,revisado,5,44
640,20 km al SUROESTE de TECPAN,17.14,-100.8,5.3,0.738796296,15,5,1990,GRO,revisado,17,43
641,41 km al SUROESTE de PETATLAN,17.19,-101.42,5.1,0.317789352,20,5,1990,GRO,revisado,7,37
642,26 km al SUROESTE de TECPAN,17.14,-100.86,5.8,0.066319444,27,5,1990,GRO,revisado,1,35
643,14 km al SURESTE de CACAHOATAN,14.91,-92.06,5,0.163518519,51,7,1990,CHIS,revisado,3,55
644,68 km al SUROESTE de TONALA,15.69,-94.24,5.1,0.2246875,25,8,1990,CHIS,revisado,5,23
645,123 km al NORESTE de SAN JOSE DEL CABO,23.82,-108.83,5,0.891759259,10,10,1990,BCS,revisado,21,24
646,35 km al SUR de NUEVA ITALIA,18.71,-102.09,5,0.848263889,18,10,1990,MICH,revisado,20,21
647,13 km al NOROESTE de PIJIJIAPAN,15.77,-93.3,5,0.472847222,110,11,1990,CHIS,revisado,11,20
648,260 km al OESTE de CIHUATLAN,18.95,-107.02,5.9,0.646203704,34,12,1990,JAL,revisado,15,30
649,149 km al SUROESTE de CIHUATLAN,18.54,-105.77,6.2,0.754583333,10,12,1990,JAL,revisado,18,6
650,190 km al SUROESTE de CIHUATLAN,18.14,-105.95,5.5,0.888611111,12,12,1990,JAL,revisado,21,19
651,36 km al SURESTE de CD LAZARO CARDENAS,17.86,-101.88,5.2,0.632719907,27,1,1991,MICH,revisado,15,11
652,110 km al NORESTE de SAN JOSE DEL CABO,23.69,-108.87,5.2,0.474212963,10,1,1991,BCS,revisado,11,22
653,46 km al SUROESTE de PIJIJIAPAN,15.55,-93.61,5,0.425034722,49,2,1991,CHIS,revisado,10,12
654,175 km al SURESTE de SAN FELIPE,29.72,-113.82,5.5,0.442615741,10,2,1991,BC,revisado,10,37
655,18 km al SURESTE de MAPASTEPEC,15.34,-92.76,5.1,0.99724537,69,2,1991,CHIS,revisado,23,56
656,21 km al SURESTE de JUCHITAN DE ZARAGOZA,16.27,-94.92,5.1,0.197847222,81,3,1991,OAX,revisado,4,44
657,121 km al SUROESTE de MAZATLAN,22.31,-107.04,5.5,0.961087963,10,3,1991,SIN,revisado,23,3
658,48 km al SUROESTE de PINOTEPA NACIONAL,16.05,-98.38,5.5,0.065798611,5,4,1991,OAX,revisado,1,34
659,55 km al SUROESTE de PINOTEPA NACIONAL,15.94,-98.36,5.1,0.126018519,16,4,1991,OAX,revisado,3,1
660,52 km al ESTE de UNION HIDALGO,16.53,-94.35,5,0.3634375,115,4,1991,OAX,revisado,8,43
661,19 km al OESTE de RIO GRANDE,16.03,-97.61,5.1,0.1525,53,4,1991,OAX,revisado,3,39
662,41 km al SUR de COALCOMAN,18.41,-103.21,5.1,0.789652778,18,5,1991,MICH,revisado,18,57
663,117 km al SUROESTE de NAVOLATO,23.99,-108.49,6.1,0.771134259,10,6,1991,SIN,revisado,18,30
664,66 km al SUROESTE de NAVOLATO,24.41,-108.23,5.6,0.57130787,10,6,1991,SIN,revisado,13,42
665,112 km al SUROESTE de CD HIDALGO,14.33,-93.13,5,0.7240625,40,6,1991,CHIS,revisado,17,22
666,31 km al SUROESTE de MAPASTEPEC,15.2,-93.03,5.1,0.618645833,69,7,1991,CHIS,revisado,14,50
667,16 km al SUROESTE de SAYULA DE ALEMAN,17.81,-95.09,5.3,0.392719907,8,7,1991,VER,revisado,9,25
668,57 km al SUR de PETATLAN,17.02,-101.24,5.4,0.406990741,21,7,1991,GRO,revisado,9,46
669,16 km al ESTE de SALINA CRUZ,16.19,-95.05,5,0.982824074,70,7,1991,OAX,revisado,23,35
670,177 km al SUROESTE de MAPASTEPEC,14.27,-94.01,5,0.284513889,5,8,1991,CHIS,revisado,6,49
671,62 km al ESTE de CRUCECITA,15.7,-95.56,5.2,0.537847222,70,9,1991,OAX,revisado,12,54
672,90 km al SUROESTE de CD HIDALGO,13.91,-92.42,5,0.872106481,13,9,1991,CHIS,revisado,20,55
673,101 km al SUROESTE de PINOTEPA NACIONAL,15.6,-98.61,5.3,0.999467593,20,9,1991,OAX,revisado,23,59
674,29 km al SUROESTE de HUIXTLA,14.91,-92.6,5.1,0.20849537,100,9,1991,CHIS,revisado,5,0
675,225 km al SUROESTE de CIHUATLAN,17.55,-105.76,5.7,0.490196759,5,11,1991,JAL,revisado,11,45
676,28 km al SUROESTE de PINOTEPA NACIONAL,16.1,-98.12,5.2,0.907708333,5,11,1991,OAX,revisado,21,47
677,64 km al ESTE de RODOLFO SANCHEZ T(MRO),31.7,-115.9,5,0.496238426,5,12,1991,BC,revisado,11,54
678,95 km al SUROESTE de AHOME,25.23,-109.74,5.1,0.753449074,10,12,1991,SIN,revisado,18,4
679,106 km al SUROESTE de AHOME,25.12,-109.76,5.4,0.765462963,10,12,1991,SIN,revisado,18,22
680,94 km al NORESTE de LA PAZ,24.9,-109.89,5.2,0.767777778,10,12,1991,BCS,revisado,18,25
681,97 km al SURESTE de CRUCECITA,15.24,-95.41,5,0.503263889,12,1,1992,OAX,revisado,12,4
682,16 km al NORESTE de OMETEPEC,16.74,-98.27,5.1,0.943854167,47,1,1992,GRO,revisado,22,39
683,27 km al SUROESTE de MAPASTEPEC,15.25,-93.05,5.2,0.348148148,132,2,1992,CHIS,revisado,8,21
684,8 km al NOROESTE de ZIHUATANEJO,17.7,-101.6,5.1,0.24787037,78,2,1992,GRO,revisado,5,56
685,86 km al SUR de CD HIDALGO,13.91,-92.28,5.6,0.673518519,37,2,1992,CHIS,revisado,16,9
686,16 km al SURESTE de CACAHOATAN,14.91,-92.04,5,0.779930556,75,2,1992,CHIS,revisado,18,43
687,69 km al SUROESTE de HUIXTLA,14.8,-93.01,5.2,0.623900463,60,2,1992,CHIS,revisado,14,58
688,121 km al SUROESTE de CD HIDALGO,14.1,-93.1,5.2,0.030555556,20,3,1992,CHIS,revisado,0,44
689,6 km al SUROESTE de MOTOZINTLA,15.31,-92.27,5,0.100300926,149,3,1992,CHIS,revisado,2,24
690,34 km al SUR de PETATLAN,17.23,-101.3,5.2,0.622638889,20,3,1992,GRO,revisado,14,56
691,31 km al SUR de PETATLAN,17.26,-101.24,5.1,0.772118056,44,3,1992,GRO,revisado,18,31
692,17 km al SUROESTE de ZAACHILA,16.87,-96.89,5.1,0.208657407,59,4,1992,OAX,revisado,5,0
693,84 km al SUROESTE de PINOTEPA NACIONAL,15.81,-98.62,5,0.647280093,25,5,1992,OAX,revisado,15,32
694,120 km al SUROESTE de CD HIDALGO,14.04,-93.05,5.5,0.437488426,19,5,1992,CHIS,revisado,10,29
695,78 km al SUROESTE de OMETEPEC,16.17,-98.91,5.3,0.126226852,5,6,1992,GRO,revisado,3,1
696,80 km al SUROESTE de OMETEPEC,16.13,-98.89,5.3,0.486956019,20,6,1992,GRO,revisado,11,41
697,138 km al SUROESTE de CD HIDALGO,13.5,-92.57,5,0.077719907,30,6,1992,CHIS,revisado,1,51
698,17 km al SURESTE de CD HIDALGO,14.58,-92.03,5.1,0.124108796,49,6,1992,CHIS,revisado,2,58
699,108 km al SUR de CD HIDALGO,13.72,-91.98,5.3,0.778738426,11,8,1992,CHIS,revisado,18,41
700,115 km al SUR de PINOTEPA NACIONAL,15.32,-98.25,5.1,0.938865741,25,8,1992,OAX,revisado,22,31
701,104 km al SUR de PINOTEPA NACIONAL,15.42,-98.26,5.1,0.96625,10,8,1992,OAX,revisado,23,11
702,65 km al SUROESTE de H GUAYMAS,27.51,-111.37,5.2,0.067650463,10,10,1992,SON,revisado,1,37
703,29 km al SUROESTE de TECPAN,17.07,-100.85,5,0.100347222,37,10,1992,GRO,revisado,2,24
704,30 km al ESTE de PUERTO ESCONDIDO,15.85,-96.79,5.1,0.404837963,10,11,1992,OAX,revisado,9,42
